,precision,recall,f1-score,support
baba-nau-chuoi-dau,0.9259259259259259,0.8333333333333334,0.8771929824561403,30.0
banh-bao,1.0,0.8709677419354839,0.9310344827586207,31.0
banh-beo,0.8715596330275229,0.95,0.9090909090909091,100.0
banh-bo,0.972972972972973,0.9,0.935064935064935,40.0
banh-bot-loc,0.9019607843137255,0.8598130841121495,0.8803827751196173,107.0
banh-can,0.9223300970873787,0.8796296296296297,0.9004739336492891,108.0
banh-canh,0.7724137931034483,0.8484848484848485,0.8086642599277978,132.0
banh-chung,0.9069767441860465,0.9397590361445783,0.9230769230769231,83.0
banh-cong,0.8709677419354839,0.8181818181818182,0.84375,33.0
banh-cuon,0.9324324324324325,0.9019607843137255,0.9169435215946844,153.0
banh-da-cua,0.7727272727272727,0.6296296296296297,0.6938775510204082,27.0
banh-da-lon,0.8936170212765957,1.0,0.9438202247191011,42.0
banh-duc,0.7959183673469388,0.8210526315789474,0.8082901554404145,95.0
banh-gai,0.9310344827586207,0.9310344827586207,0.9310344827586207,29.0
banh-giay,0.8620689655172413,0.8333333333333334,0.847457627118644,30.0
banh-gio,0.9772727272727273,0.9052631578947369,0.9398907103825137,95.0
banh-hoi,0.8662420382165605,0.8553459119496856,0.8607594936708861,159.0
banh-khot,0.837037037037037,0.9576271186440678,0.8932806324110671,118.0
banh-la,0.8181818181818182,0.6923076923076923,0.75,26.0
banh-mi,0.9329608938547486,0.943502824858757,0.9382022471910112,177.0
banh-mi-chao,0.9605263157894737,0.9733333333333334,0.9668874172185431,75.0
banh-pia,0.8846153846153846,0.92,0.9019607843137255,75.0
banh-tai-heo,1.0,0.975,0.9873417721518988,40.0
banh-tet,0.970873786407767,0.9345794392523364,0.9523809523809523,107.0
banh-tieu,0.972972972972973,1.0,0.9863013698630136,36.0
banh-tom-ho-tay,0.9130434782608695,0.7241379310344828,0.8076923076923077,29.0
banh-trang-nuong,0.940677966101695,0.9487179487179487,0.9446808510638298,117.0
banh-troi-nuoc,0.9666666666666667,0.90625,0.9354838709677419,32.0
banh-trung-thu,0.875,0.875,0.875,32.0
banh-u,0.9354838709677419,0.90625,0.9206349206349206,32.0
banh-xeo,0.9230769230769231,0.9113924050632911,0.9171974522292994,158.0
bo-kho,0.9583333333333334,0.8518518518518519,0.9019607843137255,27.0
bo-la-lot,0.8837209302325582,0.9344262295081968,0.9083665338645418,122.0
bo-luc-lac,0.8620689655172413,0.8064516129032258,0.8333333333333334,31.0
bo-ne,0.8857142857142857,1.0,0.9393939393939394,31.0
bo-nuong-la-lot,0.8333333333333334,0.8064516129032258,0.819672131147541,31.0
bun-bo-hue,0.8307692307692308,0.826530612244898,0.8286445012787724,196.0
bun-cha,0.8888888888888888,0.8571428571428571,0.8727272727272727,28.0
bun-cha-ca,0.8666666666666667,0.9629629629629629,0.9122807017543859,27.0
bun-dau-mam-tom,0.9541984732824428,0.984251968503937,0.9689922480620154,127.0
bun-mam,0.8899082568807339,0.8738738738738738,0.8818181818181818,111.0
bun-rieu,0.8509316770186336,0.8616352201257862,0.85625,159.0
bun-thit-nuong,0.8425925925925926,0.8504672897196262,0.8465116279069768,107.0
ca-kho-to,0.9313725490196079,0.979381443298969,0.9547738693467337,97.0
ca-loc-nuong,0.9375,1.0,0.967741935483871,30.0
ca-muoi-xoi,0.9375,1.0,0.967741935483871,30.0
ca-ri-ga,0.7941176470588235,0.7714285714285715,0.782608695652174,35.0
ca-sot-ca-chua,0.7878787878787878,0.8125,0.8,32.0
canh-bi-do,0.9310344827586207,1.0,0.9642857142857143,27.0
canh-chua,0.8319327731092437,0.853448275862069,0.8425531914893617,116.0
canh-cua,0.896551724137931,0.9629629629629629,0.9285714285714286,27.0
canh-kho-hoa,0.96875,0.9117647058823529,0.9393939393939394,34.0
canh-khoai-tim,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
cao-lau,0.9292929292929293,0.9387755102040817,0.934010152284264,98.0
cha-ca-la-vong,0.7857142857142857,0.88,0.8301886792452831,25.0
cha-com,0.8717948717948718,0.9444444444444444,0.9066666666666666,36.0
cha-lui,0.9032258064516129,0.8235294117647058,0.8615384615384616,34.0
chao-long,0.952054794520548,0.9652777777777778,0.9586206896551724,144.0
chao-vit,0.8709677419354839,0.9,0.8852459016393442,30.0
com-chay-cha-bong,0.9090909090909091,0.8823529411764706,0.8955223880597015,34.0
com-chien,0.8947368421052632,0.9444444444444444,0.918918918918919,36.0
com-ga-xoi-mo,1.0,0.8285714285714286,0.90625,35.0
com-lam,0.9615384615384616,0.8928571428571429,0.9259259259259259,28.0
com-rang-dua-bo,0.9230769230769231,0.75,0.8275862068965517,32.0
com-tam,0.9148936170212766,0.9626865671641791,0.9381818181818182,134.0
cua-hap-bia,1.0,0.6923076923076923,0.8181818181818182,26.0
cut-lon-xao-me,0.85,0.9444444444444444,0.8947368421052632,36.0
ga-chien-nuoc-mam,0.8108108108108109,0.8823529411764706,0.8450704225352113,34.0
ga-hap-la-chanh,0.9655172413793104,0.9032258064516129,0.9333333333333333,31.0
goi-ca-chich,0.9,0.9310344827586207,0.9152542372881356,29.0
goi-cuon,0.9024390243902439,0.9098360655737705,0.9061224489795918,122.0
hu-tieu,0.7417218543046358,0.835820895522388,0.7859649122807018,134.0
khau-nhuc,0.8666666666666667,1.0,0.9285714285714286,26.0
kho-muc-nuong,0.9032258064516129,0.9032258064516129,0.9032258064516129,31.0
kho-quet,0.8529411764705882,0.9666666666666667,0.90625,30.0
lap-xuong,0.875,0.9655172413793104,0.9180327868852459,29.0
luon-om-chuoi-dau,0.8260869565217391,0.7037037037037037,0.76,27.0
luon-xao-xa-ot,0.8484848484848485,0.9333333333333333,0.8888888888888888,30.0
mam-chung,1.0,0.8709677419354839,0.9310344827586207,31.0
mam-tep-chung-thit,0.7948717948717948,1.0,0.8857142857142857,31.0
mi-quang,0.9421487603305785,0.8976377952755905,0.9193548387096774,127.0
mi-xao-gion,0.9032258064516129,0.9032258064516129,0.9032258064516129,31.0
muc-nhoi-thit,0.9655172413793104,0.8484848484848485,0.9032258064516129,33.0
nam-pia,0.9130434782608695,0.9130434782608695,0.9130434782608695,23.0
nem-chua,0.7956989247311828,0.891566265060241,0.8409090909090909,83.0
nem-nuong-nha-trang,0.7878787878787878,0.8387096774193549,0.8125,31.0
nui-xao,0.9375,0.6521739130434783,0.7692307692307693,23.0
oc-buou-hap,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
oc-huong-xao,1.0,0.8461538461538461,0.9166666666666666,26.0
oc-len-xao-dua,0.9354838709677419,0.9354838709677419,0.9354838709677419,31.0
pho,0.8545454545454545,0.7768595041322314,0.8138528138528138,121.0
rau-muong-xao,0.9714285714285714,0.9714285714285714,0.9714285714285714,35.0
sup-cua,1.0,0.9117647058823529,0.9538461538461539,34.0
tau-hu-nhoi-thit,0.9166666666666666,0.8148148148148148,0.8627450980392157,27.0
tau-hu-non,0.8846153846153846,0.8518518518518519,0.8679245283018868,27.0
thit-dong,0.95,0.6785714285714286,0.7916666666666666,28.0
thit-kho-tau,0.9666666666666667,0.8285714285714286,0.8923076923076924,35.0
thit-trau-gac-bep,0.9166666666666666,0.8461538461538461,0.88,26.0
tiet-canh,0.9117647058823529,0.8857142857142857,0.8985507246376812,35.0
trung-vit-lon,0.8333333333333334,0.8620689655172413,0.847457627118644,29.0
xoi-gac,1.0,0.90625,0.9508196721311475,32.0
xoi-nep-than,0.9629629629629629,0.896551724137931,0.9285714285714286,29.0
xoi-xeo,0.9885057471264368,0.9347826086956522,0.9608938547486033,92.0
accuracy,0.894227615611676,0.894227615611676,0.894227615611676,0.894227615611676
macro avg,0.9027971757768576,0.8866568921783183,0.8923613026559262,6098.0
weighted avg,0.8966872220383738,0.894227615611676,0.8939960334126624,6098.0
